DIRECTORIO;SECUENCIA_P;ORDEN;ESTRATEGIAS;EST_RADIO;EST_TELEVISION;EST_PLATAFORMAS;EST_GUIAS;EST_VISITA;EST_LLAMADA;ESCUCHA_RADIO;P1077S7;P1077S8;P1075;P1077S21;P1077S22;P1077S23;CELULAR_INTELIGENTE;P5305;CELULAR
7247540;1;3;1;2;2;1;1;2;2;2;2;1;1;2;1;2;1;2;1
7247542;1;2;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247553;1;4;1;2;2;2;1;2;2;2;2;1;1;2;1;2;1;2;1
7247553;1;5;2; ; ; ; ; ; ;2;2;1;1;2;1;2;1;2;1
7247566;1;5;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247571;1;3;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1
7247573;1;2;2; ; ; ; ; ; ;1;1;2;1;2;2;2;1;2;1
7247576;1;3;2; ; ; ; ; ; ;2;2;1;1;2;2;2;1;2;1
7247576;1;4;2; ; ; ; ; ; ;2;2;1;1;2;2;2;1;2;1
7247577;1;3;1;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
7247587;1;3;1;2;2;1;1;2;2;1;2;1;2;2;1;2;1;2;1
7247587;1;4;1;2;2;2;1;2;2;2;2;1;2;2;1;2;1;2;1
7247600;1;5;1;2;2;1;1;2;2;1;1;2;1;1;2;2;1;2;1
7247600;1;6;2; ; ; ; ; ; ;1;1;2;1;1;2;2;1;2;1
7247613;1;4;1;2;2;1;1;2;2;1;2;1;1;2;2;2;1;1;1
7247613;1;5;1;2;2;1;1;2;2;2;2;1;1;2;2;2;1;1;1
7247615;1;3;1;2;2;1;1;2;2;1;1;2;1;2;1;2;1;1;1
7247617;1;3;1;1;1;1;1;2;1;2;1;2;2;2;2;2;1;2;1
7247621;1;3;1;2;1;1;1;2;2;2;1;1;1;2;2;2;1;1;1
7247621;1;4;1;2;1;1;1;2;2;2;1;1;1;2;2;2;1;1;1
7247621;1;7;2; ; ; ; ; ; ;2;1;1;1;2;2;2;1;1;1
7247628;1;5;2; ; ; ; ; ; ;2;1;1;1;2;2;2;1;2;1
7247631;1;3;2; ; ; ; ; ; ;2;2;1;1;2;2;1;1;2;1
7247631;1;4;2; ; ; ; ; ; ;2;2;1;1;2;2;1;1;2;1
7247631;1;5;1;2;2;1;1;2;2;2;2;1;1;2;2;1;1;2;1
7247631;1;6;1;2;2;1;1;2;2;2;2;1;1;2;2;1;1;2;1
7247632;1;2;2; ; ; ; ; ; ;2;1;1;2;2;2;2;1;2;1
7247642;1;3;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1
7247643;1;3;1;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1
7247644;1;3;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1
7247644;1;4;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1
7247645;1;4;1;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1
7247645;1;5;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247645;1;6;2; ; ; ; ; ; ;2;1;2;2;2;2;2;1;2;1
7247652;1;3;1;1;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1
